a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,1,1000,0,0,0,1,0,750,1,91,0,11,7,0
1,0,1000,0,0,1,0,1,750,1,0,91,7,11,0
0,1,1001,1,0,0,1,0,727,1,61,0,0,3,0
1,0,1001,1,0,1,0,1,600,1,0,33,18,0,0
0,1,1002,2,0,0,1,0,788,1,7,0,6,0,0
1,0,1002,2,0,1,0,1,690,1,0,55,46,1,0
0,1,1003,0,1,0,1,1,733,1,0,4,0,11,0
1,0,1003,0,1,1,0,0,733,1,4,0,11,0,0
0,1,1004,1,1,0,1,0,595,1,18,0,0,1,0
1,0,1004,1,1,1,0,1,660,1,0,1,11,1,0
0,1,1005,2,1,0,1,0,740,1,7,0,0,9,0
1,0,1005,2,1,1,0,1,611,1,0,72,22,0,0
0,1,1006,0,2,0,1,1,595,1,0,24,5,0,0
1,0,1006,0,2,1,0,0,595,1,24,0,0,5,0
0,1,1007,1,2,0,1,0,840,1,53,0,0,3,0
1,0,1007,1,2,1,0,1,537,1,0,39,11,7,0
0,1,1008,2,2,0,1,1,658,1,0,7,0,3,0
1,0,1008,2,2,1,0,1,796,1,0,36,11,0,0
0,1,1009,0,0,1,2,0,1031,1,31,0,105,161,0
1,0,1009,0,0,2,1,1,1031,1,0,31,161,105,0
0,1,1010,1,0,1,2,1,976,1,0,11,7,328,0
1,0,1010,1,0,2,1,0,885,1,54,0,61,76,0
0,1,1011,2,0,1,2,1,645,1,0,46,6,108,0
1,0,1011,2,0,2,1,0,1069,1,32,0,16,36,0
0,1,1012,0,1,1,2,1,836,1,0,44,0,16,0
1,0,1012,0,1,2,1,0,836,1,44,0,16,0,0
0,1,1013,1,1,1,2,1,1132,1,0,24,9,18,0
1,0,1013,1,1,2,1,1,887,1,0,59,51,0,0
0,1,1014,2,1,1,2,0,964,1,23,0,38,200,0
1,0,1014,2,1,2,1,0,592,1,72,0,149,7,0
0,1,1015,0,2,1,2,0,780,1,37,0,60,97,0
1,0,1015,0,2,2,1,1,780,1,0,37,97,60,0
0,1,1016,1,2,1,2,0,1019,1,4,0,88,49,0
1,0,1016,1,2,2,1,1,887,1,0,9,83,45,0
0,1,1017,2,2,1,2,1,1041,1,0,11,30,82,0
1,0,1017,2,2,2,1,0,751,1,79,0,47,44,0
0,1,1018,0,0,2,3,1,1117,1,0,28,5,104,0
1,0,1018,0,0,3,2,0,1117,1,28,0,104,5,0
0,1,1019,1,0,2,3,0,653,1,19,0,0,74,0
1,0,1019,1,0,3,2,1,867,1,0,12,190,71,0
0,1,1020,2,0,2,3,1,693,1,0,36,0,143,0
1,0,1020,2,0,3,2,0,859,1,9,0,150,18,0
0,1,1021,0,1,2,3,0,630,1,16,0,0,83,0
1,0,1021,0,1,3,2,1,630,1,0,16,83,0,0
0,1,1022,1,1,2,3,1,612,1,0,19,0,100,0
1,0,1022,1,1,3,2,1,1120,1,0,37,273,170,0
0,1,1023,2,1,2,3,-1,748,1,0,0,0,212,0
1,0,1023,2,1,3,2,1,724,1,0,14,193,0,0
0,1,1024,0,2,2,3,0,897,1,1,0,33,113,0
1,0,1024,0,2,3,2,1,897,1,0,1,113,33,0
0,1,1025,1,2,2,3,0,534,1,55,0,0,67,0
1,0,1025,1,2,3,2,1,523,1,0,2,82,0,0
0,1,1026,2,2,2,3,1,616,1,0,18,2,84,0
1,0,1026,2,2,3,2,0,748,1,52,0,153,1,0
0,1,1027,0,0,3,0,0,622,1,1,0,30,23,0
1,0,1027,0,0,0,3,1,622,1,0,1,23,30,0
0,1,1028,1,0,3,0,1,679,1,0,76,72,7,0
1,0,1028,1,0,0,3,1,514,1,0,89,0,0,0
0,1,1029,2,0,3,0,0,610,1,44,0,70,7,0
1,0,1029,2,0,0,3,0,646,1,44,0,23,14,0
0,1,1030,0,1,3,0,1,578,1,0,62,4,25,0
1,0,1030,0,1,0,3,0,578,1,62,0,25,4,0
0,1,1031,1,1,3,0,0,651,1,47,0,0,81,0
1,0,1031,1,1,0,3,1,612,1,0,14,0,17,0
0,1,1032,2,1,3,0,1,319,1,0,6,0,138,0
1,0,1032,2,1,0,3,0,748,1,21,0,64,0,0
0,1,1033,0,2,3,0,0,520,1,43,0,0,149,0
1,0,1033,0,2,0,3,1,520,1,0,43,149,0,0
0,1,1034,1,2,3,0,0,652,1,18,0,40,6,0
1,0,1034,1,2,0,3,1,498,1,0,20,22,0,0
0,1,1035,2,2,3,0,0,565,1,14,0,0,6,0
1,0,1035,2,2,0,3,1,485,1,0,34,13,0,0
0,2,1000,0,0,0,1,1,238,1,0,32,4,0,0
2,0,1000,0,0,1,0,0,238,1,32,0,0,4,0
0,2,1001,1,0,0,1,1,238,1,0,48,4,0,0
2,0,1001,1,0,1,0,0,192,1,73,0,0,4,0
0,2,1002,2,0,0,1,1,238,1,0,56,4,0,0
2,0,1002,2,0,1,0,0,304,1,22,0,0,4,0
0,2,1003,0,1,0,1,1,227,1,0,15,4,0,0
2,0,1003,0,1,1,0,0,227,1,15,0,0,4,0
